width,height,area,perimeter
8,6,48,28
2,4,8,12
1,3,3,8
9,3,27,24
9,8,72,34
3,1,3,8
4,2,8,12
6,5,30,22
7,1,7,16
8,2,16,20
5,5,25,20
9,5,45,28
8,4,32,24
1,2,2,6
2,9,18,22
7,8,56,30
7,5,35,24
2,4,8,12
2,5,10,14
4,3,12,14
8,1,8,18
8,5,40,26
9,8,72,34
7,3,21,20
8,3,24,22
6,6,36,24
6,4,24,20
8,4,32,24
7,2,14,18
4,4,16,16
4,1,4,10
9,7,63,32
4,2,8,12
1,2,2,6
8,1,8,18
5,4,20,18
9,5,45,28
6,9,54,30
3,7,21,20
7,3,21,20
7,7,49,28
3,3,9,12
5,5,25,20
7,3,21,20
8,2,16,20
2,6,12,16
7,1,7,16
1,2,2,6
3,5,15,16
2,6,12,16
5,6,30,22
9,1,9,20
6,3,18,18
2,6,12,16
6,8,48,28
9,1,9,20
2,8,16,20
3,7,21,20
6,5,30,22
8,6,48,28
9,2,18,22
3,9,27,24
2,5,10,14
1,4,4,10
3,3,9,12
2,9,18,22
6,4,24,20
5,2,10,14
2,6,12,16
2,5,10,14
1,3,3,8
1,3,3,8
6,7,42,26
8,6,48,28
2,7,14,18
4,6,24,20
1,1,1,4
9,8,72,34
5,5,25,20
3,9,27,24
2,8,16,20
2,2,4,8
8,3,24,22
1,8,8,18
5,1,5,12
5,7,35,24
9,5,45,28
3,1,3,8
9,7,63,32
8,5,40,26
9,8,72,34
4,5,20,18
4,5,20,18
1,5,5,12
6,6,36,24
8,5,40,26
8,7,56,30
1,4,4,10
1,6,6,14
2,6,12,16
