aerated,afterfeel,almond,buttery,color,cooling,creamy,doughy,eggy,fat,fat_level,fatty,hardness,ice_crystals,id,liking_flavor,liking_texture,melt_rate,melting_rate,milky,overall,sugar,sugar_level,sweetness,tackiness,vanilla
5.3,3.9,3.7,4.0,10.0,12.7,3.7,3.1,5.7,1,8.73,3.6,10358,10.5,1,3.9,4.6,2.5700000000000003,9.7,6.3,3.9,1,8.94,4.1,1350,4.1
7.1,5.7,4.9,5.1,8.1,12.6,8.0,5.6,6.0,2,14.28,6.1,5491,7.5,2,5.4,5.8,2.14,9.2,9.3,5.4,1,10.85,6.9,1079,7.2
6.4,7.6,5.7,7.3,7.0,9.6,9.2,7.5,8.3,3,17.68,9.6,6646,4.7,3,5.8,5.9,0.93,6.7,9.3,5.8,1,11.61,8.3,1573,7.9
7.8,6.9,6.0,5.9,6.4,10.3,8.6,5.9,8.8,1,9.94,7.5,2438,6.3,4,6.0,6.3,2.89,8.1,8.8,6.0,2,13.65,8.0,1081,8.1
8.2,8.9,6.7,7.5,8.0,10.1,10.0,9.0,7.3,2,14.99,10.7,3031,5.0,5,6.5,6.6,2.63,7.0,9.0,6.5,2,13.54,9.1,1195,8.3
5.4,9.2,6.3,8.1,7.0,9.8,9.6,9.8,9.0,3,18.75,10.4,4228,4.1,6,6.1,5.9,2.39,6.4,8.5,6.1,2,13.29,9.8,1526,8.5
9.0,7.7,7.4,8.3,7.0,8.8,10.1,9.7,8.3,1,11.4,9.3,1312,4.7,7,6.3,5.7,2.7,8.7,8.8,5.9,3,17.65,11.0,766,10.1
8.1,10.0,7.5,8.4,8.3,6.7,11.6,11.7,9.1,2,15.08,10.7,1339,3.4,8,5.9,5.0,3.12,7.3,8.3,5.5,3,18.81,11.7,925,9.0
7.2,11.0,8.1,9.0,6.9,6.3,11.5,10.8,9.2,3,19.3,11.6,1875,3.1,9,5.7,5.1,3.55,6.7,8.4,5.4,3,17.91,11.9,1010,10.0
